"Best-selling Toyota and Lexusnameplates globally, FY2021[99]",Rankin Toyota,Model,Sales(thousands of units),1,2,3,4,5,6,7,8,9,10


Toyota Corolla,"1,312"
Toyota RAV4,980
Toyota Yaris,743
Toyota Camry,685
Toyota Hilux,605
Toyota Highlander,466
Toyota Tacoma,268
Toyota C-HR,235
Toyota Levin,221
Lexus RX,199
